기점 종점,LEVEL1,값,년(Annual),증감,증감율,구성비,누계,누계구성비
경북,충북,15502,2016,15502,15502,0,0,0
경북,충남,3634.3,2016,3634.3,3634.3,0,0,0
경북,전북,2225.9,2016,2225.9,2225.9,0,0,0
경북,전남,2946.8,2016,2946.8,2946.8,0,0,0
경북,경북,568106.7,2016,568106.7,568106.7,0,0,0
경북,경남,28366.5,2016,28366.5,28366.5,0,0,0
경북,제주,0,2016,0,0,0,0,0
경북,세종,522.9,2016,522.9,522.9,0,0,0
경북,총합계,1171305.7,2016,1171305.7,1171305.7,0,0,0
경남,서울,12810.6,2016,12810.6,12810.6,0,0,0
경남,부산,383361.1,2016,383361.1,383361.1,0,0,0
경남,대구,33848.3,2016,33848.3,33848.3,0,0,0
경남,인천,1844.9,2016,1844.9,1844.9,0,0,0
경남,광주,3762.4,2016,3762.4,3762.4,0,0,0
경남,대전,3987.9,2016,3987.9,3987.9,0,0,0
경남,울산,49345.1,2016,49345.1,49345.1,0,0,0
경남,경기,7747,2016,7747,7747,0,0,0
경남,강원,605.1,2016,605.1,605.1,0,0,0
경남,충북,2904.4,2016,2904.4,2904.4,0,0,0
경남,충남,2525.1,2016,2525.1,2525.1,0,0,0
경남,전북,9718.2,2016,9718.2,9718.2,0,0,0
경남,전남,18042.1,2016,18042.1,18042.1,0,0,0
경남,경북,29624.2,2016,29624.2,29624.2,0,0,0
경남,경남,682532.9,2016,682532.9,682532.9,0,0,0
경남,제주,54,2016,54,54,0,0,0
경남,세종,819.7,2016,819.7,819.7,0,0,0
경남,총합계,1243533,2016,1243533,1243533,0,0,0
제주,서울,22495,2016,22495,22495,0,0,0
제주,부산,5468.6,2016,5468.6,5468.6,0,0,0
제주,대구,2278.4,2016,2278.4,2278.4,0,0,0
제주,인천,202.1,2016,202.1,202.1,0,0,0
제주,광주,1775.3,2016,1775.3,1775.3,0,0,0
제주,대전,0,2016,0,0,0,0,0
제주,울산,18,2016,18,18,0,0,0
제주,경기,0,2016,0,0,0,0,0
제주,강원,99.2,2016,99.2,99.2,0,0,0
제주,충북,2778.3,2016,2778.3,2778.3,0,0,0
제주,충남,0,2016,0,0,0,0,0
제주,전북,295.6,2016,295.6,295.6,0,0,0
제주,전남,1981.3,2016,1981.3,1981.3,0,0,0
제주,경북,0,2016,0,0,0,0,0
제주,경남,38.9,2016,38.9,38.9,0,0,0
제주,제주,223278.2,2016,223278.2,223278.2,0,0,0
제주,세종,0,2016,0,0,0,0,0
제주,총합계,260708.8,2016,260708.8,260708.8,0,0,0
세종,서울,7063.8,2016,7063.8,7063.8,0,0,0
세종,부산,169.6,2016,169.6,169.6,0,0,0
세종,대구,352.9,2016,352.9,352.9,0,0,0
세종,인천,800.9,2016,800.9,800.9,0,0,0
세종,광주,357.9,2016,357.9,357.9,0,0,0
세종,대전,89124.9,2016,89124.9,89124.9,0,0,0
세종,울산,47.7,2016,47.7,47.7,0,0,0
세종,경기,6612,2016,6612,6612,0,0,0
세종,강원,237.5,2016,237.5,237.5,0,0,0
세종,충북,39056.9,2016,39056.9,39056.9,0,0,0
세종,충남,33278.6,2016,33278.6,33278.6,0,0,0
세종,전북,1164.5,2016,1164.5,1164.5,0,0,0
세종,전남,376.2,2016,376.2,376.2,0,0,0
세종,경북,554.8,2016,554.8,554.8,0,0,0
세종,경남,602.3,2016,602.3,602.3,0,0,0
