"행정동별(1)",행정동별(2),2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016,2016
"행정동별(1)",행정동별(2),총계,총계,총계,총계,총계,0-4 세,0-4 세,0-4 세,0-4 세,0-4 세,5-9 세,5-9 세,5-9 세,5-9 세,5-9 세,10-14 세,10-14 세,10-14 세,10-14 세,10-14 세,15-19 세,15-19 세,15-19 세,15-19 세,15-19 세,20-24 세,20-24 세,20-24 세,20-24 세,20-24 세,25-29 세,25-29 세,25-29 세,25-29 세,25-29 세,30-34 세,30-34 세,30-34 세,30-34 세,30-34 세,35-39 세,35-39 세,35-39 세,35-39 세,35-39 세,40-44 세,40-44 세,40-44 세,40-44 세,40-44 세,45-49 세,45-49 세,45-49 세,45-49 세,45-49 세,50-54 세,50-54 세,50-54 세,50-54 세,50-54 세,55-59 세,55-59 세,55-59 세,55-59 세,55-59 세,60-64 세,60-64 세,60-64 세,60-64 세,60-64 세,65-69 세,65-69 세,65-69 세,65-69 세,65-69 세,70-74 세,70-74 세,70-74 세,70-74 세,70-74 세,75-79 세,75-79 세,75-79 세,75-79 세,75-79 세,80-84 세,80-84 세,80-84 세,80-84 세,80-84 세,85-89세,85-89세,85-89세,85-89세,85-89세,90-94세,90-94세,90-94세,90-94세,90-94세,95-99세,95-99세,95-99세,95-99세,95-99세,100세이상,100세이상,100세이상,100세이상,100세이상
"행정동별(1)",행정동별(2),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%),계 (명),남 (명),여 (명),구성비 (%),성비 (%)
"완산구",효자2동,11238,5426,5812,-,-,316,182,134,-,-,403,205,198,-,-,492,251,241,-,-,797,411,386,-,-,935,486,449,-,-,702,356,346,-,-,669,364,305,-,-,670,341,329,-,-,750,362,388,-,-,914,439,475,-,-,933,413,520,-,-,1029,429,600,-,-,853,402,451,-,-,711,339,372,-,-,457,213,244,-,-,291,136,155,-,-,172,62,110,-,-,107,30,77,-,-,27,5,22,-,-,9,-,9,-,-,1,-,1,-,-
"완산구",효자3동,16687,7988,8699,-,-,676,372,304,-,-,697,342,355,-,-,867,440,427,-,-,1307,666,641,-,-,1409,758,651,-,-,1006,527,479,-,-,1015,502,513,-,-,1079,537,542,-,-,1138,526,612,-,-,1387,620,767,-,-,1376,601,775,-,-,1445,644,801,-,-,1099,512,587,-,-,780,377,403,-,-,518,252,266,-,-,398,174,224,-,-,288,99,189,-,-,134,29,105,-,-,55,9,46,-,-,11,1,10,-,-,2,-,2,-,-
"완산구",효자4동,74417,36658,37759,-,-,4209,2136,2073,-,-,4620,2383,2237,-,-,4903,2585,2318,-,-,6615,3447,3168,-,-,6008,3032,2976,-,-,4829,2399,2430,-,-,5692,2750,2942,-,-,6320,3054,3266,-,-,7502,3477,4025,-,-,7519,3745,3774,-,-,5388,2766,2622,-,-,3882,1955,1927,-,-,2431,1181,1250,-,-,1528,705,823,-,-,1083,460,623,-,-,887,340,547,-,-,565,162,403,-,-,310,64,246,-,-,98,12,86,-,-,24,4,20,-,-,4,1,3,-,-
"덕진구",소계,289899,144270,145629,-,-,13204,6782,6422,-,-,15404,7912,7492,-,-,15665,8041,7624,-,-,20870,10731,10139,-,-,21823,11586,10237,-,-,17293,9040,8253,-,-,18584,9352,9232,-,-,22176,11055,11121,-,-,24375,12197,12178,-,-,25462,12831,12631,-,-,22262,11205,11057,-,-,21177,10508,10669,-,-,15373,7488,7885,-,-,12149,5723,6426,-,-,9287,4244,5043,-,-,7320,3097,4223,-,-,4605,1709,2896,-,-,2017,600,1417,-,-,641,143,498,-,-,145,14,131,-,-,67,12,55,-,-
"덕진구",진북동,16420,8134,8286,-,-,464,250,214,-,-,531,279,252,-,-,596,320,276,-,-,936,468,468,-,-,1126,601,525,-,-,894,502,392,-,-,881,486,395,-,-,953,500,453,-,-,1084,582,502,-,-,1270,649,621,-,-,1222,602,620,-,-,1510,703,807,-,-,1216,602,614,-,-,1068,463,605,-,-,1037,438,599,-,-,782,345,437,-,-,541,235,306,-,-,218,86,132,-,-,68,17,51,-,-,15,4,11,-,-,8,2,6,-,-
"덕진구",인후1동,20371,9799,10572,-,-,942,471,471,-,-,1218,612,606,-,-,1243,633,610,-,-,1583,795,788,-,-,1468,757,711,-,-,1058,544,514,-,-,1083,509,574,-,-,1624,756,868,-,-,1683,788,895,-,-,1800,881,919,-,-,1432,699,733,-,-,1399,655,744,-,-,1125,492,633,-,-,975,457,518,-,-,718,341,377,-,-,526,229,297,-,-,305,131,174,-,-,126,40,86,-,-,45,8,37,-,-,14,1,13,-,-,4,-,4,-,-
"덕진구",인후2동,12714,6367,6347,-,-,398,204,194,-,-,352,186,166,-,-,405,200,205,-,-,715,372,343,-,-,879,489,390,-,-,831,429,402,-,-,840,459,381,-,-,883,515,368,-,-,823,433,390,-,-,978,504,474,-,-,991,469,522,-,-,1077,505,572,-,-,1024,465,559,-,-,854,384,470,-,-,718,340,378,-,-,517,255,262,-,-,265,116,149,-,-,108,31,77,-,-,41,11,30,-,-,9,-,9,-,-,6,-,6,-,-
"덕진구",인후3동,35207,17244,17963,-,-,1721,891,830,-,-,2316,1185,1131,-,-,2279,1175,1104,-,-,2918,1491,1427,-,-,2586,1328,1258,-,-,1918,964,954,-,-,2306,1076,1230,-,-,3060,1447,1613,-,-,3517,1689,1828,-,-,3459,1712,1747,-,-,2515,1296,1219,-,-,2022,1020,1002,-,-,1325,619,706,-,-,1075,482,593,-,-,862,392,470,-,-,638,262,376,-,-,445,162,283,-,-,175,41,134,-,-,49,11,38,-,-,17,-,17,-,-,4,1,3,-,-
"덕진구",덕진동,21765,10964,10801,-,-,1450,764,686,-,-,1062,525,537,-,-,801,441,360,-,-,1106,567,539,-,-,1596,859,737,-,-,1742,905,837,-,-,1999,1017,982,-,-,1955,1041,914,-,-,1637,915,722,-,-,1625,840,785,-,-,1504,705,799,-,-,1497,720,777,-,-,1106,535,571,-,-,868,365,503,-,-,721,361,360,-,-,557,250,307,-,-,288,98,190,-,-,167,42,125,-,-,55,10,45,-,-,12,-,12,-,-,17,4,13,-,-
"덕진구",금암1동,7588,4036,3552,-,-,151,66,85,-,-,138,70,68,-,-,142,71,71,-,-,323,174,149,-,-,821,448,373,-,-,868,514,354,-,-,590,332,258,-,-,460,292,168,-,-,477,278,199,-,-,592,329,263,-,-,554,283,271,-,-,635,321,314,-,-,522,260,262,-,-,444,204,240,-,-,333,153,180,-,-,299,144,155,-,-,157,66,91,-,-,64,24,40,-,-,16,6,10,-,-,1,-,1,-,-,1,1,-,-,-
"덕진구",금암2동,10784,5397,5387,-,-,311,166,145,-,-,329,174,155,-,-,339,180,159,-,-,576,290,286,-,-,819,445,374,-,-,813,427,386,-,-,662,362,300,-,-,695,376,319,-,-,674,362,312,-,-,811,426,385,-,-,813,398,415,-,-,962,436,526,-,-,828,365,463,-,-,778,365,413,-,-,578,282,296,-,-,404,182,222,-,-,253,109,144,-,-,99,42,57,-,-,30,8,22,-,-,6,1,5,-,-,4,1,3,-,-
"덕진구",팔복동,9455,5122,4333,-,-,260,142,118,-,-,284,136,148,-,-,307,172,135,-,-,526,278,248,-,-,638,365,273,-,-,523,311,212,-,-,560,329,231,-,-,618,372,246,-,-,714,435,279,-,-,731,420,311,-,-,887,509,378,-,-,938,489,449,-,-,721,380,341,-,-,616,315,301,-,-,461,213,248,-,-,355,156,199,-,-,207,71,136,-,-,73,22,51,-,-,22,6,16,-,-,10,-,10,-,-,4,1,3,-,-
"덕진구",우아1동,10411,5290,5121,-,-,342,166,176,-,-,365,191,174,-,-,410,199,211,-,-,650,333,317,-,-,819,431,388,-,-,644,362,282,-,-,680,371,309,-,-,681,354,327,-,-,759,412,347,-,-,912,458,454,-,-,886,446,440,-,-,957,487,470,-,-,755,376,379,-,-,558,280,278,-,-,362,183,179,-,-,316,140,176,-,-,189,66,123,-,-,102,31,71,-,-,18,3,15,-,-,4,-,4,-,-,2,1,1,-,-
"덕진구",우아2동,15757,7933,7824,-,-,672,342,330,-,-,655,337,318,-,-,736,348,388,-,-,1022,520,502,-,-,1147,602,545,-,-,1036,512,524,-,-,1234,635,599,-,-,1293,684,609,-,-,1410,737,673,-,-,1441,738,703,-,-,1265,651,614,-,-,1194,622,572,-,-,788,393,395,-,-,631,311,320,-,-,453,206,247,-,-,395,163,232,-,-,228,89,139,-,-,115,32,83,-,-,32,10,22,-,-,10,1,9,-,-,-,-,-,-,-
"덕진구",호성동,23025,11202,11823,-,-,963,500,463,-,-,1366,699,667,-,-,1460,707,753,-,-,1831,980,851,-,-,1734,916,818,-,-,1242,639,603,-,-,1319,641,678,-,-,1581,724,857,-,-,1877,886,991,-,-,2020,970,1050,-,-,1844,899,945,-,-,1872,903,969,-,-,1333,663,670,-,-,894,430,464,-,-,589,259,330,-,-,526,204,322,-,-,345,116,229,-,-,160,50,110,-,-,56,12,44,-,-,10,3,7,-,-,3,1,2,-,-
"덕진구",송천1동,39541,19609,19932,-,-,2075,1072,1003,-,-,2740,1447,1293,-,-,2965,1556,1409,-,-,3708,1911,1797,-,-,3086,1673,1413,-,-,2129,1063,1066,-,-,2369,1150,1219,-,-,3178,1452,1726,-,-,3940,1827,2113,-,-,3895,1939,1956,-,-,3042,1566,1476,-,-,2305,1193,1112,-,-,1339,656,683,-,-,941,450,491,-,-,673,287,386,-,-,527,198,329,-,-,375,111,264,-,-,163,39,124,-,-,78,18,60,-,-,12,1,11,-,-,1,-,1,-,-
"덕진구",송천2동,28650,14023,14627,-,-,1248,621,627,-,-,1644,823,821,-,-,1708,905,803,-,-,2354,1187,1167,-,-,2518,1290,1228,-,-,1705,899,806,-,-,1594,779,815,-,-,1936,929,1007,-,-,2386,1098,1288,-,-,2574,1215,1359,-,-,2433,1195,1238,-,-,2179,1091,1088,-,-,1392,716,676,-,-,1043,522,521,-,-,743,346,397,-,-,566,217,349,-,-,392,128,264,-,-,181,54,127,-,-,46,7,39,-,-,7,1,6,-,-,1,-,1,-,-
"덕진구",조촌동,10636,5417,5219,-,-,386,192,194,-,-,434,229,205,-,-,460,222,238,-,-,661,364,297,-,-,753,424,329,-,-,598,308,290,-,-,672,362,310,-,-,730,401,329,-,-,817,446,371,-,-,945,498,447,-,-,886,471,415,-,-,861,466,395,-,-,656,331,325,-,-,525,259,266,-,-,411,179,232,-,-,391,137,254,-,-,289,96,193,-,-,123,30,93,-,-,28,2,26,-,-,4,-,4,-,-,6,-,6,-,-
"덕진구",동산동,27575,13733,13842,-,-,1821,935,886,-,-,1970,1019,951,-,-,1814,912,902,-,-,1961,1001,960,-,-,1833,958,875,-,-,1292,661,631,-,-,1795,844,951,-,-,2529,1212,1317,-,-,2577,1309,1268,-,-,2409,1252,1157,-,-,1988,1016,972,-,-,1769,897,872,-,-,1243,635,608,-,-,879,436,443,-,-,628,264,364,-,-,521,215,306,-,-,326,115,211,-,-,143,36,107,-,-,57,14,43,-,-,14,2,12,-,-,6,-,6,-,-
